product_title,Sum of store_penetration,Count of rewards_match,Sum of points,Proposed Points
"Coca-Cola, Soda, Classic, 20 oz (24 Pack)",2160,,,50
"Coca-Cola, Soda, Classic, 2 l (8 Pack)",1936,,,50
"Sprite, Soda, 20 oz (24 Pack)",1743,,,50
"Vitaminwater, XXX, Acai-Blueberry-Pomegranate, 20 oz (12 Pack)",1709,1,300,50
"Coca-Cola, Soda, Mexican, 500 ml (24 Pack)",1677,,,50
"Coca-Cola, Classic Soda, 16 oz (24 Pack)",1663,,,50
"Vitaminwater, Power-C, Dragonfruit, 20 oz (12 Pack)",1663,1,300,50
"Coca-Cola, Soda, Zero, 20 oz (24 Pack)",1641,1,500,50
"Coca-Cola, Soda, Diet, 20 oz (24 Pack)",1588,,,50
"Coca-Cola, Soda, Mexican, 355 ml (24 Pack)",1541,,,50
"Sprite, Soda, 2 l (8 Pack)",1524,,,50
"Smartwater, Vapor Distilled Water, 1 l (12 Pack)",1482,1,500,50
"Vitaminwater, Energy, Tropical Citrus, 20 oz (12 Pack)",1474,1,300,50
"Vitaminwater, Focus, Kiwi Strawberry, 20 oz (12 Pack)",1442,,,50
"Coca-Cola, Soda, Classic, 12 oz (35 Pack)",1363,,,50
"Vitaminwater, Refresh, Tropical Mango, 20 oz (12 Pack)",1186,,,50
"Coca-Cola, Zero Sugar Soda, 16 oz (24 Pack)",1061,,,50
"Coca-Cola, Diet Soda, 2 l (8 Pack)",1043,,,50
"Fanta, Orange, 20 oz (24 Pack)",1034,1,500,50
"Fanta, Strawberry, 20 oz (24 Pack)",1016,,,50
"Fanta, Pineapple, 20 oz (24 Pack)",1014,,,50
"Sprite, Classic Soda Can, 16 oz (24 Pack)",990,,,100
"Coca-Cola, Soda, Diet, 16 oz (24 Pack)",982,,,100
"Fanta, Orange, 2 l (8 Pack)",946,,,100
"Coca-Cola, Cherry Soda, 20 oz (24 Pack)",943,1,300,100
"Coca-Cola, Soda, Diet, 12 oz (35 Pack)",879,,,100
"Sprite, Soda, 12 oz (35 Pack)",848,,,100
"Coca-Cola, Zero Sugar Soda, 2 l (8 Pack)",811,,,100
"Smartwater, Vapor Distilled Water, 20 oz (24 Pack)",797,1,500,100
"Coca-Cola, Soda, Classic, 12 oz (24 Pack)",771,,,100
"Smartwater, Alkaline, 1 l (12 Pack)",737,1,300,100
"Vitaminwater, XXX, Acai-Blueberry-Pomegranate, 32 oz (15 Pack)",726,1,300,100
"Vitaminwater, Essential, Orange, 20 oz (12 Pack)",724,,,100
"Vitaminwater, Power-C, Dragon Fruit, 32 oz (15 Pack)",699,,,100
"Vitaminwater, Energy, Tropical Citrus, 32 oz (15 Pack)",695,,,100
"Fanta, Pineapple, 2 l (8 Pack)",683,,,100
"Minute Maid, Pink Lemonade, 20 oz (24 Pack)",672,,,100
"Coca-Cola, Soda, Zero Sugar, 12 oz (35 Pack)",658,,,100
"Fanta, Strawberry, 2 l (8 Pack)",644,,,100
"Powerade, Mountain Berry Blast, 28 oz (15 Pack)",618,1,500,100
"Fanta, Orange, Mexican, 500 ml (24 Pack)",606,,,100
"Minute Maid, Lemonade, 20 oz (24 Pack)",603,1,500,100
"Topo Chico, Mineral Water, Twist of Lime, Glass Bottle, 11.5 oz (24 Pack)",597,,,100
"Sprite, Soda, 12 oz (24 Pack)",593,,,100
"Coca-Cola, Diet Soda, 12 oz (24 Pack)",556,,,100
