store_id,total_coke_units,distinct_coke_skus,total_rewards_units,distinct_rewards_skus,total_non_rewards_units,cohort
0006f8f4-6aa8-4e14-a490-29d0000864e4,11,2,0,0,11,coca-cola-only
00105da1-1222-45ff-9be8-fd64d8583a01,44,26,6,5,38,rewards-eligible
00348313-a801-4974-99ce-b4cc5262b92e,21,10,1,1,20,rewards-eligible
0056b887-3eb7-4770-a146-655911072f2d,62,15,2,1,60,rewards-eligible
007b4393-5698-40d0-a4d2-05d6bd3b4c81,198,22,8,4,190,rewards-eligible
008d72e7-d60c-4c96-b3e9-dfa3cd0cc6d2,93,39,23,7,70,rewards-eligible
008db0d8-e8ba-403f-bbe2-e7e5b71ec122,30,17,3,1,27,rewards-eligible
008ddeea-1e3d-4742-90ce-2855d01eac17,2,2,0,0,2,coca-cola-only
00a149e9-205b-478e-ae11-4fd09b9d446e,610,74,74,13,536,rewards-eligible
00c7023f-929f-4ff6-82e6-036b559e83be,45,12,3,3,42,rewards-eligible
00d2c334-fdc1-4fc1-a46c-9146f3e51d3a,196,65,36,13,160,rewards-eligible
00db4297-3459-45eb-acbc-59b9044faf4e,122,20,38,4,84,rewards-eligible
00e99fc4-e4f1-4198-ac13-1cb9d028916f,4,4,2,2,2,rewards-eligible
00f259cb-018f-4aa7-88d9-1cf45868fb35,5,5,1,1,4,rewards-eligible
00fd5cec-c410-4cd4-bc20-f62626b2a6c2,5,3,0,0,5,coca-cola-only
011d4ae1-09bc-438d-8663-14ea27a8edca,2,1,0,0,2,coca-cola-only
0132e831-f6e6-4e7c-b2a0-733bdad7d310,19,5,0,0,19,coca-cola-only
01379d0a-61ae-46d6-bae1-3dfec4c8b7f9,1,1,0,0,1,coca-cola-only
01494861-4015-437b-90ea-bcd0157a7c4a,25,9,0,0,25,coca-cola-only
0159c1f4-30fa-417e-b887-2c21044979e1,219,57,66,12,153,rewards-eligible
015e4a8a-cf3b-4204-99cb-9835caf1b66a,103,45,17,11,86,rewards-eligible
0162b0b8-4506-46a4-89bf-c3720382b86a,118,21,15,2,103,rewards-eligible
01c7fcc3-d575-464c-9675-48b1e43bfa43,34,19,5,2,29,rewards-eligible
01f337f7-1f56-4a95-9dc6-cbd26b0299e1,48,36,10,9,38,rewards-eligible
01fd5eee-f160-4e4c-9c6c-25c4edda0d16,7,7,1,1,6,rewards-eligible
02131b87-a4c6-43e2-994b-4a8466817b1a,2,1,0,0,2,coca-cola-only
021e48fa-6b51-4f53-bd93-979a032a7c37,7,1,0,0,7,coca-cola-only
023ad925-46aa-43c7-99ac-e899e23a313b,189,75,29,15,160,rewards-eligible
024092e2-3971-4c96-b8fd-8ddd08d705b4,78,18,25,3,53,rewards-eligible
0245beb2-b6b1-4d4e-8c2e-e0014d782ca1,1,1,0,0,1,coca-cola-only
02493c5e-f556-47ab-aa05-dfb57a4c2902,18,8,0,0,18,coca-cola-only
027854f2-bbaa-4570-a758-338fced47c78,151,32,23,7,128,rewards-eligible
028a10fa-3311-4f8c-a5bd-b2228d10949d,163,43,41,9,122,rewards-eligible
02b4ad76-e3d3-433e-bd0d-d47288fe6ef3,15,14,2,2,13,rewards-eligible
02d0dd0d-298b-432b-95b7-69d987169138,7,4,5,3,2,rewards-eligible
02d2d89d-2ca8-4060-aa3e-f8bd3818e672,84,38,23,8,61,rewards-eligible
02dfaf52-14c0-472a-a655-807b39afd0a4,462,131,67,18,395,rewards-eligible
02f7ce23-d22c-4e8d-8385-cb9e50c70bd2,135,35,11,4,124,rewards-eligible
02fce345-e097-4337-92c2-4d2c01bf6f43,259,32,17,7,242,rewards-eligible
030bba71-1865-440d-b289-7d441c890834,51,28,12,5,39,rewards-eligible
03298b1c-35d5-4d2b-a371-d18f3d3d8bfe,378,80,61,18,317,rewards-eligible
034c7d18-dd34-4244-ae92-72414508212f,138,57,20,10,118,rewards-eligible
034f711b-4543-4b31-8b6d-533b2be15e53,1,1,0,0,1,coca-cola-only
0355d883-8792-4f56-846f-cd5773ad3990,224,50,53,11,171,rewards-eligible
036d0694-5868-4fac-a1a9-870af7868108,53,28,16,9,37,rewards-eligible
0370a4a2-eb57-4630-8b1a-855c7f05c495,592,91,115,14,477,rewards-eligible
03783dd7-ba39-46af-b9ed-8fe3b4e06aee,193,16,33,3,160,rewards-eligible
0398fa68-2c62-4705-bbce-97c849878752,492,73,20,7,472,rewards-eligible
03b9a106-e5c3-4f0c-b3ae-bca055778f74,65,30,14,8,51,rewards-eligible
03c8de76-a4cf-4d63-b975-ea619ca32398,61,29,17,8,44,rewards-eligible
03d22062-7e01-465b-a8c0-28d4d41be6a0,37,19,15,4,22,rewards-eligible
03d88ffc-f987-4dd5-b098-e682feebacdb,251,59,50,13,201,rewards-eligible
03ee864b-af29-415d-a5f0-a4a4d731771e,3,1,0,0,3,coca-cola-only
03f1bb28-0223-4e08-ab38-7f6029e91aea,80,6,0,0,80,coca-cola-only
04054264-78c1-4ecd-9760-f1a630e44406,7,3,0,0,7,coca-cola-only
041d1777-558b-46a4-9746-f7a6263c930f,133,41,21,8,112,rewards-eligible
042944ba-66a5-4847-bda2-753866ab607b,645,82,97,13,548,rewards-eligible
0433c0a4-f04f-4851-8510-7a90de3602ea,16,14,2,2,14,rewards-eligible
044dc6e9-92e6-432a-8e65-984f965aa070,228,40,26,8,202,rewards-eligible
04571497-586b-4d61-b0e5-2e549d966a62,5,2,0,0,5,coca-cola-only
0466ff2e-2a3e-4069-9459-9793b3e36e92,14,12,5,4,9,rewards-eligible
04b439ca-e8ca-4fad-9bc9-1b0f9e22595b,32,14,2,1,30,rewards-eligible
04d2e9b4-7534-4bf9-81ae-c222add9acd6,1,1,0,0,1,coca-cola-only
04da2c81-82fc-4b6d-8a81-bbe083a70fb3,1,1,0,0,1,coca-cola-only
04ea8766-feb6-4af9-b289-b1f3c95bfaef,64,48,10,8,54,rewards-eligible
05069479-53b9-4319-9fc0-31518ea9866f,4,1,0,0,4,coca-cola-only
0508c609-f42c-4831-aa15-a6f2f6c780d6,114,49,14,5,100,rewards-eligible
050baf20-abc9-418c-ae10-54e5189c0766,4,4,1,1,3,rewards-eligible
051fe2a8-a6fb-4dc5-8e80-5c1df404cee3,43,33,10,9,33,rewards-eligible
0535e39e-84d1-4bfd-8b9d-81bc117ba270,6,2,0,0,6,coca-cola-only
0543be2f-c39d-476f-9488-d3cf8cd196d2,5,5,1,1,4,rewards-eligible
05495bc8-8633-449b-8c66-60d2974975be,3,3,3,3,0,rewards-eligible
055ae158-cce8-4754-9762-9ac7141dd84b,33,3,0,0,33,coca-cola-only
055d167e-f91c-4228-a7c4-9131e2c08b4c,2,1,0,0,2,coca-cola-only
0561c1f6-9149-4bc2-8dab-7605ead26219,31,14,0,0,31,coca-cola-only
0597a8cc-7403-4a02-88f7-77e3c2c6b350,110,39,9,5,101,rewards-eligible
05c5b39f-adfa-47b5-8779-046d5aeaccb1,225,53,46,10,179,rewards-eligible
05d90ba9-bff9-4bb9-8a30-76a687cf38bc,36,16,1,1,35,rewards-eligible
05e3bda6-77de-4ab0-8e5f-2b1408572efb,27,10,5,4,22,rewards-eligible
062efffd-b031-4889-bb28-8cd3033279b4,2,2,0,0,2,coca-cola-only
0648358d-9590-4d14-97a2-198e5e1c6620,134,10,0,0,134,coca-cola-only
0649988a-142b-4f41-8215-7a4991174712,25,8,0,0,25,coca-cola-only
06637c48-2fa2-4f65-b484-2c4c4ed34310,2,1,0,0,2,coca-cola-only
066ae8b1-2c8e-4476-84d3-57802721effc,55,26,9,7,46,rewards-eligible
06712399-eb07-4a5c-b8d5-f3498d66a2ea,49,25,9,5,40,rewards-eligible
06a308e4-0a09-44d5-ad4b-95d00a2aeb55,60,13,2,2,58,rewards-eligible
06b0ebaa-ceaa-4b4d-95cb-d69494b9d0cf,1,1,1,1,0,rewards-eligible
06c8d0ca-f2e8-4d5a-9006-636a7e38e7ba,1,1,0,0,1,coca-cola-only
06e5b8a7-dfe9-4025-bc09-fc4fb5e5bbe6,27,11,2,2,25,rewards-eligible
06f33b14-c9ea-4a6a-8d10-a5caccd0ef79,108,54,22,9,86,rewards-eligible
06f5cfc1-ef47-423a-aaf0-fbc78a341983,12,4,0,0,12,coca-cola-only
07040ef8-3bc5-41bb-8b86-b19730064d68,16,8,4,1,12,rewards-eligible
070513b2-972f-4949-b0ff-0263473f0ed9,13,11,3,2,10,rewards-eligible
070a6c02-2135-4150-b155-cd2dd0bbd836,267,45,81,9,186,rewards-eligible
0718a64f-191d-418e-9ff0-7aabaf15ee79,155,37,21,8,134,rewards-eligible
07380d36-6aa2-406d-a723-8c2f5caace96,111,36,30,7,81,rewards-eligible
073b25aa-cc8c-4141-b152-fa70517456a4,27,21,3,3,24,rewards-eligible
074155ce-0474-41b2-b79d-7b01cc257143,46,28,15,7,31,rewards-eligible
075b4548-9b8a-4e44-a908-096c837a3a69,367,84,53,14,314,rewards-eligible
0799e226-4a58-47a7-88ca-e2186b80ce1d,226,51,32,13,194,rewards-eligible
07ac69f5-c795-44cc-ade7-94550c54be39,231,71,39,15,192,rewards-eligible
07bc25df-e75c-4bd6-8fe5-01a1899c8256,348,73,77,17,271,rewards-eligible
07bfeda4-ebd4-417c-8800-bb5b9997f70b,39,12,0,0,39,coca-cola-only
07ee6592-61ff-48b3-b4e5-a12387b34209,17,5,0,0,17,coca-cola-only
08044703-263f-4e9d-a551-dfd9d8e03577,93,39,31,12,62,rewards-eligible
08045319-b9b8-49db-9c57-2a5ded9f9a25,93,44,8,7,85,rewards-eligible
080c2047-f75c-4c5b-a088-58892c5a9830,16,11,4,2,12,rewards-eligible
08221f37-39d7-4546-af12-6d1e6993bb7a,1,1,0,0,1,coca-cola-only
082cc483-5614-4738-a1c1-ddbe08140171,231,103,59,18,172,rewards-eligible
0835e94d-e62e-4c59-9f23-3a1359a2621b,18,15,8,6,10,rewards-eligible
0854a523-d345-4941-ba06-e8dc0d97247f,184,53,39,9,145,rewards-eligible
08583468-b7e9-4134-a0b6-f8ec50011408,364,59,62,11,302,rewards-eligible
086782a5-5356-42c6-b222-257e044d2a78,34,15,10,4,24,rewards-eligible
08858915-4f19-4e29-840e-4633ccb7716b,522,65,52,12,470,rewards-eligible
08860c3d-06e1-445f-94d6-77eb8e387fcb,2,2,1,1,1,rewards-eligible
089dd69c-727c-4529-916a-b7028ebbb724,6,5,0,0,6,coca-cola-only
08a5394f-86af-4cb2-b7e1-353ccc3e8ed0,47,21,1,1,46,rewards-eligible
08a75b74-f686-47f1-b719-266b953a91a6,1,1,0,0,1,coca-cola-only
08c7fe12-b0f3-4544-9327-b56c2c18267a,39,6,0,0,39,coca-cola-only
08ea48c1-4c24-4a52-a677-a60b098203a4,8,3,0,0,8,coca-cola-only
08ecf221-668f-4dca-8522-f55a07548d3e,723,121,120,16,603,rewards-eligible
09030240-82ae-423e-ae91-5cc7efc59a35,122,42,34,10,88,rewards-eligible
09160fa4-7f60-4efc-bcc5-63d4cb197ef1,31,18,6,4,25,rewards-eligible
0916e283-faa5-4bbb-abbd-ff6b287eb923,634,100,67,19,567,rewards-eligible
091bb69a-6c32-446c-8f32-79b007d70a2c,93,42,24,12,69,rewards-eligible
092d5f9e-4361-4fde-b238-6d273ded3b11,45,16,0,0,45,coca-cola-only
092d9bec-9b5a-4479-8f38-55ad9ecfca32,19,11,0,0,19,coca-cola-only
092fde5c-d448-43f9-ae15-9e8d5d9b0bb9,20,11,1,1,19,rewards-eligible
09330b60-ec6e-4467-915c-bf376be4fa81,3,2,0,0,3,coca-cola-only
0939e56d-e52a-4922-a2df-637ac8f109d8,52,8,2,1,50,rewards-eligible
09446054-03cb-45b4-9ccc-cf631f3da9a5,54,30,10,7,44,rewards-eligible
094f3b30-5c20-4244-b4f4-ffa615e93f9c,2,1,0,0,2,coca-cola-only
0956b1bb-c9ef-4b83-b67f-3e4f5b742fe4,28,5,1,1,27,rewards-eligible
097718d4-8d56-4475-87a3-f679b5cfa4fa,1202,84,232,18,970,rewards-eligible
0987982c-f50d-45c4-af38-30c909ffc1cd,67,23,6,5,61,rewards-eligible
0994bec5-4a77-428d-a396-ae4fb1c2a756,30,27,8,7,22,rewards-eligible
09af12b3-3188-42b5-8789-3800afa3512c,227,24,1,1,226,rewards-eligible
0a0b2c6b-7523-41b3-9f50-7c8bd1c7188d,42,10,0,0,42,coca-cola-only
0a2dadce-4ef1-49f5-9914-75fd73697c61,39,16,2,2,37,rewards-eligible
0a346db4-0015-46bd-aba4-b900eeb7c5f7,90,33,45,7,45,rewards-eligible
0a434b43-48c4-45cc-9805-dbbf17b6d6ca,130,17,26,5,104,rewards-eligible
0a457c22-750d-4960-a5a0-8245886d6f52,219,43,37,9,182,rewards-eligible
0a4be8e1-7cd2-4ade-95d2-918bbeca7268,640,41,77,5,563,rewards-eligible
0a5c034d-c8a1-48a9-883d-1e5e98a9f025,145,34,13,7,132,rewards-eligible
0a71efff-5fb5-4160-97da-4e82cfc76aa9,8,4,0,0,8,coca-cola-only
0a778af3-3c65-4736-89db-30571853308b,1,1,0,0,1,coca-cola-only
0a8b85d7-5ac8-403b-8cc7-622570f85625,223,62,75,14,148,rewards-eligible
0a9c6b86-c16b-4f8f-8a6d-42c03050ca45,42,37,7,7,35,rewards-eligible
